,sentence,label
0,"wodaeeex3: I Want Snake Bites , MY Industrial Piercin  A TattooDem hoe accessories dea",Offensive
1,What a wonderful thought it is that some of the best days of our lives havent happened yet.,Non-Offensive
2,VineForTheByrd: On my way to fuck your bitch LMFAO KITTYCOPTER,Offensive
3,__sneakyb: I hate when boys deny that they have bitches smh,Offensive
4,Love yourself. It is important to stay positive because beauty comes from the inside out.,Non-Offensive
5,"A creative man is motivated by the desire to achieve, not by the desire to beat others.",Non-Offensive
6,He a bitch for hitting that hoe,Offensive
7,lildurk_: I can turn yo bitch into a eaterrrrrrrrr,Offensive
8,Eat the pussy like a real nigga hungry,Offensive
9,It is the mark of an educated mind to be able to entertain a thought without accepting it,Non-Offensive
10,It is during our darkest moments that we must focus to see the light.,Non-Offensive
11,Why would I want to play with some pussy? - jimmyfallon *DEAD*,Offensive
12,I say luck is when an opportunity comes along and you are prepared for it.,Non-Offensive
13,The struggle youre in today is developing the strength you need for tomorrow.,Non-Offensive
14,TweetGameLazy: I can ride your bitch with no handle bars,Offensive
15,"Life is too short to wake up with regrets, so love the people who treat you right, forget about those who dont believe. Everything happens for a reason, if you get a chance, take it. If it changes your life, let it. Nobody said life would be easy they just promised most likely be worth it.The sun himself is weak when he first rises, and gathers strength and courage as the day sets on.",Non-Offensive
16,jama_jam: You bitches be pretending to be TF crazy.. You ain't never lied...,Offensive
17,"Wishing your dreams begin to come true, and every tomorrow be happy for you.",Non-Offensive
18,This is for my ghetto motherfuckers -Missy Elliott,Offensive
19,"I heard you was looking for Candy Man, bitch",Offensive
20,"chieflottahoes: In D.C., we call them rollers, in Chiraq we call them thots. All across America they have been known as a hoe.",Offensive
21,I will fuck u where u stand. U dizzy bitch. Two unique  separate phrases I overheard a relative saying when I was younger.,Offensive
22,Why would you want pussy on your side burns?.. Thats a good question _hy0ung hahahahaha ,Offensive
23,sierrabernia: T2G_CincoKilby: Y'all think celebrity pussy different from the locals?  yeah Meghan goods is,Offensive
24,Motivation is what gets you started. Habit Is what keeps you going.,Non-Offensive
25,Open your eyes and look within. Are you satisfied with the life youre living?,Non-Offensive
26,"Follow your dreams, or youll spend the rest of the time working for someone who did.",Non-Offensive
27,"Your time is limited, so dont waste it living someone elses life.",Non-Offensive
28,jSadass: loud bitches annoy me,Offensive
29,"I used to dress up like a cop too.
Oh really?
Yeah...right after 911...mad pussy.
Really?
Yes...I'll NEVER FORGET.",Offensive
30,May you always walk the glorious road to success. All the best in life. May you achieve greatness and touch all your dreams.,Non-Offensive
31,I know that shit eatin grin! You either just fucked the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?,Offensive
32,Your future will always be bright when you stay focused optimistic and confident.,Non-Offensive
33,"If you dont design your own life plan, chances are youll all into some elses plan, and guess what they have planned for you? Not much.",Non-Offensive
34,"You will never find time for anything. If you want time, you must make it.",Non-Offensive
35,Having the positive belief that it will all be OK just means that you hustle and make it work because failure is not even an option in your own mind.,Non-Offensive
36,Ordinary cant possibly be extraordinary without taking risk. You have to learn to be uncomfortable with being comfortable to truly reach your highest potential.,Non-Offensive
37,"In every day, there are 1,440 minutes. That means we have 1,440 daily opportunities to make a positive impact.",Non-Offensive
38,"To handle yourself, use your head. To handle others, use your heart.",Non-Offensive
39,Tmacc_GFG: tizzimarie: No slushes hoes nasty anyway fam,Offensive
40,Dont wait to reach your goal to be proud of yourself. Be proud of yourself every step you take.,Non-Offensive
41,"I have learned over the years that when ones mind is made up, this diminishes fear.",Non-Offensive
